Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
1,"W Basit, F Lodhi, F Ahmed, MU Bhatti",A metric based evaluation of unit tests as specialized clients in refactoring,2016,Pakistan Journal of …,111.68.102.14,http://111.68.102.14/ojs_old/index.php/pjeas/article/view/117,"https://scholar.google.com/scholar?cites=7812271239780257169&as_sdt=2005&sciodt=0,5&hl=en",500,25-01-21,,,,,,,,,1,0.2,0,4,5
4,"X Liao, Y Wang, L Ding",Discovering temporal patterns from images using extended PLSA,2010,2010 International Conference on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/5630978/,"https://scholar.google.com/scholar?cites=2958676659934648779&as_sdt=2005&sciodt=0,5&hl=en",501,25-01-21,,,,,,,,,4,0.36,1,3,11
7,"I Shabani, A Kovaçi, A Dika",Possibilities offered by Google App Engine for developing distributed applications using datastore,2014,2014 Sixth International …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7059154/,"https://scholar.google.com/scholar?cites=2068092958031919010&as_sdt=2005&sciodt=0,5&hl=en",502,25-01-21,,,,,,,,,7,1,2,3,7
3,Z Panian,Actionable business intelligence: how to make it available through service-oriented architectures,2008,2nd WSEAS International Conference on Computer …,wseas.us,http://www.wseas.us/e-library/conferences/2008/mexico/cea/30-CEA.pdf,"https://scholar.google.com/scholar?cites=7780820276698537717&as_sdt=2005&sciodt=0,5&hl=en",503,25-01-21,PDF,,,,,,,,3,0.23,3,1,13
4,"A Ponomarenko, V Rubanov",Automatic backward compatibility analysis of software component binary interfaces,2011,2011 IEEE International …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/5952657/,"https://scholar.google.com/scholar?cites=16010007410452416464&as_sdt=2005&sciodt=0,5&hl=en",504,25-01-21,,,,,,,,,4,0.4,2,2,10
48,"W Ma, L Chen, X Zhang, Y Zhou, ...",How do developers fix cross-project correlated bugs? A case study on the GitHub scientific Python ecosystem,2017,2017 IEEE/ACM 39th …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7985678/,"https://scholar.google.com/scholar?cites=5408447059781876234&as_sdt=2005&sciodt=0,5&hl=en",505,25-01-21,,,,,,,,,48,12,10,5,4
4,"D Liu, Q Gao, H Wang, J Zhang",A web-based interactive data visualization system for outlier subspace analysis,2010,Proceedings of the 19th …,eprints.usq.edu.au,https://eprints.usq.edu.au/18207/2/Documentation.pdf,"https://scholar.google.com/scholar?cites=10980607625016470593&as_sdt=2005&sciodt=0,5&hl=en",506,25-01-21,PDF,,,,,,,,4,0.36,1,4,11
0,"N Anquetil, M Denker, S Ducasse, A Etien, D Pollet",Project-Team RMoD 2016 Activity Report,2017,,hal.inria.fr,https://hal.inria.fr/hal-01444225/document,,507,25-01-21,PDF,,,,,,,,0,0,0,5,4
33,"A Mahmoud, N Niu",Supporting requirements to code traceability through refactoring,2014,Requirements Engineering,Springer,https://link.springer.com/article/10.1007/s00766-013-0197-0?sa_campaign=email/event/articleAuthor/onlineFirst&error=cookies_not_supported&code=92d9be95-09b8-478e-9f3d-ef83f7525c0a,"https://scholar.google.com/scholar?cites=10345577981780294783&as_sdt=2005&sciodt=0,5&hl=en",508,25-01-21,,,,,,,,,33,4.71,17,2,7
9,"N Tsantalis, N Negara, E Stroulia",Webdiff: A generic differencing service for software artifacts,2011,2011 27th IEEE …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/6080836/,"https://scholar.google.com/scholar?cites=11610563980991818933&as_sdt=2005&sciodt=0,5&hl=en",509,25-01-21,,,,,,,,,9,0.9,3,3,10
6,"I Savga, F Heidenreich",Refactoring in feature-oriented programming: Open issues,2008,"… , and Generative Techniques for Product Line …",Citeseer,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.579.2096&rep=rep1&type=pdf,"https://scholar.google.com/scholar?cites=3129453233780027095&as_sdt=2005&sciodt=0,5&hl=en",510,25-01-21,PDF,,,,,,,,6,0.46,3,2,13
0,"畑秀明, 水野修, 菊野亨",ソースコードの構造に対する体系的変更内容の復元,2011,"電子情報通信学会技術研究報告. SS, ソフトウェア …",ci.nii.ac.jp,https://ci.nii.ac.jp/naid/110008800890/,,511,25-01-21,,,,,,,,,0,0,0,3,10
0,"ІВ Іванець, ИВ Иванец",Innovations in financial services,2016,,ir.kneu.edu.ua,https://ir.kneu.edu.ua/bitstream/handle/2010/19114/35%20-%2039.pdf?sequence=1,,512,25-01-21,PDF,,,,,,,,0,0,0,2,5
0,R Grimm,Parsing All of C by Taming the Preprocessor,,,,,,513,25-01-21,CITATION,,,,,,,,0,0,0,1,
0,"D Dig, M Cebulla",Refactoring Tools (WRT'07),,Citeseer,,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.84.5253&rep=rep1&type=pdf,,514,25-01-21,PDF,,,,,,,,0,0,0,2,
0,"H Neukirchen, B Zeiss, P Mayer, A Meißner, ...",Suites. The TRex TTCN-3 Refactoring and Metrics Tool……………..………… 3,,core.ac.uk,,https://core.ac.uk/download/pdf/9559212.pdf,,515,25-01-21,PDF,,,,,,,,0,0,0,5,
1,"W Basit, F Lodhi, U Bhatti",Empirical Evaluation of Syntactic and Semantic Defects Introduced by Refactoring Support.,2016,… Arab Journal of Information Technology (IAJIT …,ccis2k.org,"https://www.ccis2k.org/iajit/PDF/vol.13,no.1/7089.pdf","https://scholar.google.com/scholar?cites=18088752267492594116&as_sdt=2005&sciodt=0,5&hl=en",516,25-01-21,PDF,,,,,,,,1,0.2,0,3,5
1,CH Kao,Collaboration framework for software development based on question and answer sites,2018,2018 IEEE International Conference on Applied …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8394595/,"https://scholar.google.com/scholar?cites=14948133072712601044&as_sdt=2005&sciodt=0,5&hl=en",517,25-01-21,,,,,,,,,1,0.33,1,1,3
9,"J Kort, R Lämmel",A framework for datatype transformation,2003,Electronic Notes in Theoretical Computer Science,Elsevier,https://www.sciencedirect.com/science/article/pii/S1571066105826234,"https://scholar.google.com/scholar?cites=8363297603676671221&as_sdt=2005&sciodt=0,5&hl=en",518,25-01-21,,,,,,,,,9,0.5,5,2,18
25,"T Ravitch, S Jackson, E Aderhold, B Liblit",Automatic generation of library bindings using static analysis,2009,ACM Sigplan Notices,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1543135.1542516,"https://scholar.google.com/scholar?cites=8548505250842457113&as_sdt=2005&sciodt=0,5&hl=en",519,25-01-21,,,,,,,,,25,2.08,6,4,12
5,"Y Yoshihara, T Miura",Melody classification using EM algorithm,2005,29th Annual International Computer Software …,computer.org,https://www.computer.org/csdl/proceedings-article/compsac/2005/241310204/12OmNCzb9yv,"https://scholar.google.com/scholar?cites=4980660198971254374&as_sdt=2005&sciodt=0,5&hl=en",520,25-01-21,,,,,,,,,5,0.31,3,2,16
0,"XFAK Ghose, GALS Bhiri",Service-Oriented,,Springer,,https://link.springer.com/content/pdf/10.1007/978-3-662-45391-9.pdf,,521,25-01-21,,,,,,,,,0,0,0,2,
2,NC Bray,PyStream: Python Shaders Running on the GPU,2010,,ideals.illinois.edu,http://www.ideals.illinois.edu/handle/2142/16886,"https://scholar.google.com/scholar?cites=6848581660590153729&as_sdt=2005&sciodt=0,5&hl=en",522,25-01-21,,,,,,,,,2,0.18,2,1,11
0,N Haenni,Information Needs in Software Ecosystems Development,,scg.unibe.ch,,http://scg.unibe.ch/archive/masters/Haen14b.pdf,,523,25-01-21,PDF,,,,,,,,0,0,0,1,
0,"I Azpeitia, J Iturrioz, O Díaz",Linked Data Wrapping as a Service,,semantic-web-journal.net,,http://www.semantic-web-journal.net/system/files/swj1509.pdf,,524,25-01-21,PDF,,,,,,,,0,0,0,3,
10,"E Holder, E Shah, M Davoodi, ...",Cloud twin: Native execution of android applications on the windows phone,2013,2013 28th IEEE/ACM …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/6693119/,"https://scholar.google.com/scholar?cites=16185360892758495343&as_sdt=2005&sciodt=0,5&hl=en",525,25-01-21,,,,,,,,,10,1.25,3,4,8
64,"M Lungu, R Robbes, M Lanza",Recovering inter-project dependencies in software ecosystems,2010,Proceedings of the IEEE/ACM …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1858996.1859058,"https://scholar.google.com/scholar?cites=18276314212990830607&as_sdt=2005&sciodt=0,5&hl=en",526,25-01-21,,,,,,,,,64,5.82,21,3,11
8,"G Santos, A Etien, N Anquetil, ...","Recording and replaying system specific, source code transformations",2015,2015 IEEE 15th …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7335418/,"https://scholar.google.com/scholar?cites=4392367610343889995&as_sdt=2005&sciodt=0,5&hl=en",527,25-01-21,,,,,,,,,8,1.33,2,4,6
9,"M Fokaefs, D Serrano, B Tansey, ...",2D and 3D visualizations in WikiDev2. 0,2010,2010 IEEE International …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/5609696/,"https://scholar.google.com/scholar?cites=3555085128653354280&as_sdt=2005&sciodt=0,5&hl=en",528,25-01-21,,,,,,,,,9,0.82,2,4,11
0,"M Živkovic, H van den Berg",ICWS 2013,,ieeexplore.ieee.org,,https://ieeexplore.ieee.org/abstract/document/6649547/,,529,25-01-21,CITATION,,,,,,,,0,0,0,2,
48,A Fomenko,Versioning application programming interface and method for using versioning functionality,2007,"US Patent 7,222,138",Google Patents,https://patents.google.com/patent/US7222138B2/en,"https://scholar.google.com/scholar?cites=1922448234619194093&as_sdt=2005&sciodt=0,5&hl=en",530,25-01-21,,,,,,,,,48,3.43,48,1,14
2,MSI Savga,A Refactoring-Based Approach to Support Binary Backward-Compatible Framework Upgrades,2009,,d-nb.info,https://d-nb.info/1007344288/34,"https://scholar.google.com/scholar?cites=3038296255994019248&as_sdt=2005&sciodt=0,5&hl=en",531,25-01-21,PDF,,,,,,,,2,0.17,2,1,12
4,"YY Lee, D Marinov, RE Johnson",Tempura: Temporal dimension for ides,2015,2015 IEEE/ACM 37th IEEE …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7194575/,"https://scholar.google.com/scholar?cites=18306124301617692898&as_sdt=2005&sciodt=0,5&hl=en",532,25-01-21,,,,,,,,,4,0.67,1,3,6
32,"E Noei, MD Syer, Y Zou, AE Hassan, ...",A study of the relation of mobile device attributes with the user-perceived quality of Android apps,2017,Empirical Software …,Springer,https://link.springer.com/article/10.1007/s10664-017-9507-3,"https://scholar.google.com/scholar?cites=6669334831172289871&as_sdt=2005&sciodt=0,5&hl=en",533,25-01-21,,,,,,,,,32,8,6,5,4
39,"G Soares, R Gheyi, E Murphy-Hill, B Johnson",Comparing approaches to analyze refactoring activity on software repositories,2013,Journal of Systems and …,Elsevier,https://www.sciencedirect.com/science/article/pii/S016412121200297X,"https://scholar.google.com/scholar?cites=3349516045917562916&as_sdt=2005&sciodt=0,5&hl=en",534,25-01-21,,,,,,,,,39,4.88,10,4,8
0,"W Tepfenhart, J Cusick","Technology Topologies: Concepts, Uses, and Possibilities",,researchgate.net,,https://www.researchgate.net/profile/James_Cusick/publication/239576658_Technology_Topologies_Concepts_Uses_and_Possibilities/links/5bc162d4299bf1004c5e54a9/Technology-Topologies-Concepts-Uses-and-Possibilities.pdf,,535,25-01-21,PDF,,,,,,,,0,0,0,2,
0,MM Mansouri,Detection of Rename Local Variable Refactoring Instances in Commit History,2018,,spectrum.library.concordia.ca,https://spectrum.library.concordia.ca/983507/,,536,25-01-21,,,,,,,,,0,0,0,1,3
2,"A Fish, TL Nguyen, M Song",CloneMap: A Clone-Aware Code Inspection Tool in Evolving Software,2018,2018 IEEE International …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8500143/,"https://scholar.google.com/scholar?cites=15048352355192453875&as_sdt=2005&sciodt=0,5&hl=en",537,25-01-21,,,,,,,,,2,0.67,1,3,3
7,"J Hu, L Wei, Y Liu, SC Cheung, H Huang",A tale of two cities: How webview induces bugs to android applications,2018,Proceedings of the 33rd ACM …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3238147.3238180,"https://scholar.google.com/scholar?cites=10682141891478621016&as_sdt=2005&sciodt=0,5&hl=en",538,25-01-21,,,,,,,,,7,2.33,1,5,3
0,"E Stefan, H Björn",Arkitektur för mashup av flera REST API: er,2017,,diva-portal.org,https://www.diva-portal.org/smash/record.jsf?pid=diva2:1091763,,539,25-01-21,,,,,,,,,0,0,0,2,4
56,"M Grechanik, KA Probst, KM Conroy",Application search tool for rapid prototyping and development of new applications,2015,"US Patent 9,009,649",Google Patents,https://patents.google.com/patent/US9009649B2/en,"https://scholar.google.com/scholar?cites=16984558815402635286&as_sdt=2005&sciodt=0,5&hl=en",540,25-01-21,,,,,,,,,56,9.33,19,3,6
17,"D Alami, M Rodríguez, S Jansen",Relating health to platform success: exploring three e-commerce ecosystems,2015,… of the 2015 European Conference on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2797433.2797478,"https://scholar.google.com/scholar?cites=9474240808278397543&as_sdt=2005&sciodt=0,5&hl=en",541,25-01-21,,,,,,,,,17,2.83,6,3,6
5,TF Bissyandé,Contributions for improving debugging of kernel-level services in a monolithic operating system,2013,,tel.archives-ouvertes.fr,https://tel.archives-ouvertes.fr/tel-00808877/,"https://scholar.google.com/scholar?cites=6438009411089345180&as_sdt=2005&sciodt=0,5&hl=en",542,25-01-21,,,,,,,,,5,0.63,5,1,8
0,"J Kort, R Lämmel","REPORT SEN-E0320 DECEMBER 23, 2003",2003,,researchgate.net,https://www.researchgate.net/profile/Ralf_Laemmel/publication/222410750_A_Framework_for_Datatype_Transformation/links/0912f50dae925cae73000000/A-Framework-for-Datatype-Transformation.pdf,,543,25-01-21,PDF,,,,,,,,0,0,0,2,18
0,LW Mar,用以制定軟體重構程序之領域特定語言的設計與實現,2013,成功大學電腦與通信工程研究所學位論文,airitilibrary.com,https://www.airitilibrary.com/Publication/alDetailedMesh?docid=U0026-0207201310320100,,544,25-01-21,,,,,,,,,0,0,0,1,8
10,"J Matsuda, S Hayashi, M Saeki",Hierarchical categorization of edit operations for separately committing large refactoring results,2015,… of the 14th International Workshop on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2804360.2804363,"https://scholar.google.com/scholar?cites=2166842334858810116&as_sdt=2005&sciodt=0,5&hl=en",545,25-01-21,,,,,,,,,10,1.67,3,3,6
29,"G Soares, B Catao, C Varjao, S Aguiar, ...",Analyzing refactorings on software repositories,2011,2011 25th Brazilian …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/6065160/,"https://scholar.google.com/scholar?cites=11369533617524160658&as_sdt=2005&sciodt=0,5&hl=en",546,25-01-21,,,,,,,,,29,2.9,6,5,10
0,"A Brito, A Hora, MT Valente",JAVALI: Uma Ferramenta para Análise de Popularidade de APIs Java,,dcc.ufmg.br,,http://www.dcc.ufmg.br/~mtov/pub/2016-cbsoft-tools-aline.pdf,,547,25-01-21,PDF,,,,,,,,0,0,0,3,
1,"S Wright, K Eder",Experience of Deploying Event-B in Industrial Microprocessor Development,2013,Industrial Deployment of System Engineering Methods,Springer,https://link.springer.com/chapter/10.1007/978-3-642-33170-1_9,"https://scholar.google.com/scholar?cites=872493858888579810&as_sdt=2005&sciodt=0,5&hl=en",548,25-01-21,,,,,,,,,1,0.13,1,2,8
1,"RG Kula, DM German, A Ouni, T Ishio, ...",Do developers update their library dependencies? An empirical study on the impact of security advisories on library migration,2017,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/1709.04621,"https://scholar.google.com/scholar?cites=165314787809843826&as_sdt=2005&sciodt=0,5&hl=en",549,25-01-21,,,,,,,,,1,0.25,0,5,4
0,"B Basten, M Hills, P Klint, D Landman, A Shahi, ...",M 3: A General Model for Source Code Analytics in Rascal,,ir.cwi.nl,,https://ir.cwi.nl/pub/23160/23160B.pdf,,550,25-01-21,PDF,,,,,,,,0,0,0,6,
0,E Varga,Testing Messaging APIs,2016,Creating Maintainable APIs,Springer,https://link.springer.com/chapter/10.1007/978-1-4842-2196-9_13,,551,25-01-21,,,,,,,,,0,0,0,1,5
0,"G Orazi, G Fontaine, P Chemla, M Zhao, ...",A First Step Toward an IoT Network Dedicated to The Sustainable Developement of a Territory.,2018,2018 Global Internet …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8534431/,,552,25-01-21,,,,,,,,,0,0,0,5,3
109,"D Baeumer, E Gamma, TK Widmer",Synchronization of work spaces,2013,"US Patent 8,418,141",Google Patents,https://patents.google.com/patent/US8418141B2/en,"https://scholar.google.com/scholar?cites=1903314771030793261&as_sdt=2005&sciodt=0,5&hl=en",553,25-01-21,,,,,,,,,109,13.63,36,3,8
4,"F Liu, E Burmako",Two approaches to portable macros,2017,,infoscience.epfl.ch,https://infoscience.epfl.ch/record/231413,"https://scholar.google.com/scholar?cites=15029394830314976957&as_sdt=2005&sciodt=0,5&hl=en",554,25-01-21,,,,,,,,,4,1,2,2,4
40,A Zeller,"The future of programming environments: Integration, synergy, and assistance",2007,Future of Software Engineering (FOSE'07),ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/4221629/,"https://scholar.google.com/scholar?cites=16118663322220992056&as_sdt=2005&sciodt=0,5&hl=en",555,25-01-21,,,,,,,,,40,2.86,40,1,14
1,QD Soetens,Change-Based Software Engineering: Using Reified Changes for Test Selection and Refactoring Reconstruction,2015,,search.proquest.com,https://search.proquest.com/openview/7cf1ed623e765ab75fd1e0658df8abd2/1?pq-origsite=gscholar&cbl=18750&diss=y,"https://scholar.google.com/scholar?cites=4411553062742512426&as_sdt=2005&sciodt=0,5&hl=en",556,25-01-21,,,,,,,,,1,0.17,1,1,6
0,M Becker,Product Line Engineering Lecture–PL Architectures II,,wwwagse.informatik.uni-kl.de,,http://wwwagse.informatik.uni-kl.de/teaching/ple/ws2010/PLE10_07_PL%20Architectures_II.pdf,,557,25-01-21,PDF,,,,,,,,0,0,0,1,
3,JG Pérez,Maintainability of Transformations in Evolving MDE Ecosystems,2014,,Citeseer,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.722.5781&rep=rep1&type=pdf,"https://scholar.google.com/scholar?cites=6616404589178802616&as_sdt=2005&sciodt=0,5&hl=en",558,25-01-21,PDF,,,,,,,,3,0.43,3,1,7
12,"L Wei, Y Liu, SC Cheung, H Huang, ...",Understanding and detecting fragmentation-induced compatibility issues for android apps,2018,IEEE Transactions on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8493348/,"https://scholar.google.com/scholar?cites=344979204162112259&as_sdt=2005&sciodt=0,5&hl=en",559,25-01-21,,,,,,,,,12,4,2,5,3
1,"P Weißgerber, S Diehl, C Görg",An interactive visualization of refactorings retrieved from software archives,2005,Companion to the 20th annual ACM …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1094855.1094922,"https://scholar.google.com/scholar?cites=5794262192201218057&as_sdt=2005&sciodt=0,5&hl=en",560,25-01-21,,,,,,,,,1,0.06,0,3,16
9,"M Afshari, ET Barr, Z Su",Liberating the programmer with prorogued programming,2012,… of the ACM international symposium on New …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2384592.2384595,"https://scholar.google.com/scholar?cites=17574587687768036398&as_sdt=2005&sciodt=0,5&hl=en",561,25-01-21,,,,,,,,,9,1,3,3,9
7,"M Kim, J Beall, D Notkin",Discovering and representing logical structure in code change,2007,,cs.washington.edu,https://scholar.google.comftp://ftp.cs.washington.edu/tr/2007/09/UW-CSE-07-09-01.PDF,"https://scholar.google.com/scholar?cites=1386502479859042600&as_sdt=2005&sciodt=0,5&hl=en",562,25-01-21,PDF,,,,,,,,7,0.5,2,3,14
3,"QI Sarhan, IS Gawdan",Web Applications and Web Services: A Comparative Study,2018,Science Journal of University of Zakho,sjuoz.uoz.edu.krd,http://sjuoz.uoz.edu.krd/index.php/sjuoz/article/view/48,"https://scholar.google.com/scholar?cites=3611891506918674721&as_sdt=2005&sciodt=0,5&hl=en",563,25-01-21,,,,,,,,,3,1,2,2,3
2,Y Liu,Understanding and generating patches for bugs introduced by third-party library upgrades,2017,,uwspace.uwaterloo.ca,https://uwspace.uwaterloo.ca/handle/10012/12762,"https://scholar.google.com/scholar?cites=14022003809212040881&as_sdt=2005&sciodt=0,5&hl=en",564,25-01-21,,,,,,,,,2,0.5,2,1,4
1,"RG Kula, C De Roover, DM German, T Ishio, K Inoue",Modeling Library Popularity within a Software Ecosystem,,Tech. Rep.,kir.ics.es.osaka-u.ac.jp,http://kir.ics.es.osaka-u.ac.jp/lab-db/betuzuri/archive/1084/1084.pdf,"https://scholar.google.com/scholar?cites=3054164111307020008&as_sdt=2005&sciodt=0,5&hl=en",565,25-01-21,PDF,,,,,,,,1,0,0,5,
0,"A Fish, TL Nguyen, M Song",A code inspection tool by mining recurring changes in evolving software,2017,2017 6th International Workshop …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8100853/,,566,25-01-21,,,,,,,,,0,0,0,3,4
1,"EL Alves, M Song, M Kim, PD Machado, T Massoni",Refdistiller: Detecting anomalies in manual refactoring edits,2014,,researchgate.net,https://www.researchgate.net/profile/Samuel_Cho4/publication/348379502_RefDistiller_Detecting_Anomalies_in_Manual_Refactoring_Edits/links/5ffbbb9445851553a035ff8b/RefDistiller-Detecting-Anomalies-in-Manual-Refactoring-Edits.pdf,"https://scholar.google.com/scholar?cites=13795373155930606438&as_sdt=2005&sciodt=0,5&hl=en",567,25-01-21,PDF,,,,,,,,1,0.14,0,5,7
6,"Y Higo, A Ohtani, S Hayashi, H Hata, ...",Toward reusing code changes,2015,2015 IEEE/ACM 12th …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7180097/,"https://scholar.google.com/scholar?cites=15353471482614336173&as_sdt=2005&sciodt=0,5&hl=en",568,25-01-21,,,,,,,,,6,1,1,5,6
5,S Proksch,Enriched Event Streams: A General Platform For Empirical Studies On In-IDE Activities Of Software Developers,2017,,tuprints.ulb.tu-darmstadt.de,http://tuprints.ulb.tu-darmstadt.de/6971,"https://scholar.google.com/scholar?cites=5813265654960597452&as_sdt=2005&sciodt=0,5&hl=en",569,25-01-21,,,,,,,,,5,1.25,5,1,4
23,"BC Cooper, SR Carter",Techniques for monitoring application calls,2011,"US Patent 8,015,549",Google Patents,https://patents.google.com/patent/US8015549B2/en,"https://scholar.google.com/scholar?cites=13341493311229728213&as_sdt=2005&sciodt=0,5&hl=en",570,25-01-21,,,,,,,,,23,2.3,12,2,10
3,E Sadun,Swift Style: An Opinionated Guide to an Opinionated Language,2017,,books.google.com,https://books.google.com/books?hl=en&lr=&id=bg9QDwAAQBAJ&oi=fnd&pg=PT12&dq=%22api+evolution%22&ots=Bc3pOZ_6wy&sig=TVpNxQb-wowWYvDrZFxkjYrXt4s,"https://scholar.google.com/scholar?cites=9808911274087669023&as_sdt=2005&sciodt=0,5&hl=en",571,25-01-21,BOOK,,,,,,,,3,0.75,3,1,4
63,"WM Wong, S Kamat",System and method for migration of software,2006,"US Patent 7,117,486",Google Patents,https://patents.google.com/patent/US7117486B2/en,"https://scholar.google.com/scholar?cites=12553979075345694561&as_sdt=2005&sciodt=0,5&hl=en",572,25-01-21,,,,,,,,,63,4.2,32,2,15
59,"M Denker, T Gîrba, A Lienhard, O Nierstrasz, ...",Encapsulating and exploiting change with changeboxes,2007,Proceedings of the …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1352678.1352681,"https://scholar.google.com/scholar?cites=708722332799953595&as_sdt=2005&sciodt=0,5&hl=en",573,25-01-21,,,,,,,,,59,4.21,12,5,14
7,"VL Winter, A Mametjanov, SE Morrison, ...",Transformation-based library adaptation for embedded systems,2007,10th IEEE High …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/4404743/,"https://scholar.google.com/scholar?cites=1490968519810748222&as_sdt=2005&sciodt=0,5&hl=en",574,25-01-21,,,,,,,,,7,0.5,2,4,14
19,"K Huang, B Chen, X Peng, D Zhou, ...",Cldiff: generating concise linked code differences,2018,2018 33rd IEEE …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9000085/,"https://scholar.google.com/scholar?cites=14752697828583887103&as_sdt=2005&sciodt=0,5&hl=en",575,25-01-21,,,,,,,,,19,6.33,4,5,3
37,"V Raychev, M Schäfer, M Sridharan, M Vechev",Refactoring with synthesis,2013,ACM SIGPLAN Notices,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2544173.2509544,"https://scholar.google.com/scholar?cites=13026377512746985816&as_sdt=2005&sciodt=0,5&hl=en",576,25-01-21,,,,,,,,,37,4.63,9,4,8
3,"J Lawall, Q Lambert, G Muller",Prequel: A patch-like query language for commit history search,2016,,hal.inria.fr,https://hal.inria.fr/hal-01330861/document,"https://scholar.google.com/scholar?cites=8343683798830882114&as_sdt=2005&sciodt=0,5&hl=en",577,25-01-21,PDF,,,,,,,,3,0.6,1,3,5
133,"O Roques, DA Scott",Computer method and system for automatically creating tests for checking software,2010,"US Patent 7,707,553",Google Patents,https://patents.google.com/patent/US7707553B2/en,"https://scholar.google.com/scholar?cites=16822230160382900769&as_sdt=2005&sciodt=0,5&hl=en",578,25-01-21,,,,,,,,,133,12.09,67,2,11
0,W Lohmann,On Language Processors and Software Maintenance,2009,,rosdok.uni-rostock.de,http://rosdok.uni-rostock.de/file/rosdok_derivate_000000003918/Dissertation_Lohmann_2009.pdf,,579,25-01-21,BOOK,,,,,,,,0,0,0,1,12
7,"ELG Alves, T Massoni, PDL Machado",Test coverage and impact analysis for detecting refactoring faults: a study on the extract method refactoring,2015,Proceedings of the 30th Annual …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2695664.2695811,"https://scholar.google.com/scholar?cites=5192921932968022989&as_sdt=2005&sciodt=0,5&hl=en",580,25-01-21,,,,,,,,,7,1.17,2,3,6
3,"DM Duggal, WJ Malyk",Unified operating system for distributed computing,2017,"US Patent 9,841,955",Google Patents,https://patents.google.com/patent/US9841955B2/en,"https://scholar.google.com/scholar?cites=18205183395787926598&as_sdt=2005&sciodt=0,5&hl=en",581,25-01-21,,,,,,,,,3,0.75,2,2,4
0,"久保田寛, 阿萬裕久",オープンソースソフトウェアにおけるコードの安定性予測に向けたゴンペルツ曲線の適用,2008,"電子情報通信学会技術研究報告. KBSE, 知能 …",ci.nii.ac.jp,https://ci.nii.ac.jp/naid/110006967693/,,582,25-01-21,,,,,,,,,0,0,0,2,13
46,"G Pinto, W Torres, B Fernandes, F Castor, ...",A large-scale study on the usage of Java's concurrent programming constructs,2015,Journal of Systems and …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0164121215000849,"https://scholar.google.com/scholar?cites=4620502340066025669&as_sdt=2005&sciodt=0,5&hl=en",583,25-01-21,,,,,,,,,46,7.67,9,5,6
11,"G Puente, O Díaz",Wiki refactoring as mind map reshaping,2012,International Conference on Advanced Information …,Springer,https://link.springer.com/chapter/10.1007/978-3-642-31095-9_42,"https://scholar.google.com/scholar?cites=16423977147973009431&as_sdt=2005&sciodt=0,5&hl=en",584,25-01-21,,,,,,,,,11,1.22,6,2,9
18,"K Bauer, M Fokaefs, B Tansey, E Stroulia",WikiDev 2.0: discovering clusters of related team artifacts,2009,Proceedings of the 2009 …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1723028.1723049,"https://scholar.google.com/scholar?cites=10054066463798787223&as_sdt=2005&sciodt=0,5&hl=en",585,25-01-21,,,,,,,,,18,1.5,5,4,12
